filename,compute_source,source_zip,seq_len,seed,tf_steps,batch_size,step,eval_exact,eval_ce,eval_ret_top1,writer_recall,loss
hpm_v2_8192_seed0_tf200_lw03_bs2.csv,kaggle,long,8192,0,200,2,500,0.7,5.2908,1.0,0.6875,11.039
hpm_v2_8192_seed0_tf200_lw03_bs2.csv,kaggle,long,8192,0,200,2,550,0.75,2.3521,1.0,0.8125,34.1238
hpm_v2_8192_seed0_tf200_lw03_bs2.csv,kaggle,long,8192,0,200,2,600,0.9,0.9626,1.0,0.8125,0.0014
hpm_v2_8192_seed1_tf200_lw03_bs2.csv,kaggle,long,8192,1,200,2,50,0.6,21.0444,1.0,0.5,0.0084
hpm_v2_8192_seed1_tf200_lw03_bs2.csv,kaggle,long,8192,1,200,2,100,0.65,18.8796,1.0,0.5625,0.004
hpm_v2_8192_seed1_tf200_lw03_bs2.csv,kaggle,long,8192,1,200,2,150,0.65,16.0137,1.0,0.8125,0.0022
hpm_v2_8192_seed1_tf200_lw03_bs2.csv,kaggle,long,8192,1,200,2,200,0.75,19.1355,1.0,0.75,0.0015
hpm_v2_8192_seed1_tf200_lw03_bs2.csv,kaggle,long,8192,1,200,2,250,0.9,2.5307,1.0,0.75,20.5683
hpm_v2_8192_seed1_tf200_lw03_bs2.csv,kaggle,long,8192,1,200,2,300,0.7,5.1562,1.0,0.75,12.7457
hpm_v2_8192_seed1_tf200_lw03_bs2.csv,kaggle,long,8192,1,200,2,350,0.9,1.8874,1.0,0.875,0.0018
hpm_v2_8192_seed1_tf200_lw03_bs2.csv,kaggle,long,8192,1,200,2,400,0.7,3.3686,1.0,0.75,11.1289
hpm_v2_8192_seed1_tf200_lw03_bs2.csv,kaggle,long,8192,1,200,2,450,0.8,3.7823,1.0,0.6875,0.002
hpm_v2_8192_seed1_tf200_lw03_bs2.csv,kaggle,long,8192,1,200,2,500,0.75,4.02,1.0,0.625,7.5889
hpm_v2_8192_seed1_tf200_lw03_bs2.csv,kaggle,long,8192,1,200,2,550,0.9,1.2138,1.0,0.6875,0.0023
hpm_v2_8192_seed1_tf200_lw03_bs2.csv,kaggle,long,8192,1,200,2,600,0.75,3.9323,1.0,0.75,5.157
hpm_v2_8192_seed2_tf200_lw03_bs2.csv,kaggle,long,8192,2,200,2,50,0.75,10.1911,1.0,0.625,0.0075
hpm_v2_8192_seed2_tf200_lw03_bs2.csv,kaggle,long,8192,2,200,2,100,0.9,8.3024,1.0,0.625,0.0032
hpm_v2_8192_seed2_tf200_lw03_bs2.csv,kaggle,long,8192,2,200,2,150,0.75,9.8376,1.0,0.625,0.0021
hpm_v2_8192_seed2_tf200_lw03_bs2.csv,kaggle,long,8192,2,200,2,200,0.85,6.9407,1.0,0.8125,0.0015
hpm_v2_8192_seed2_tf200_lw03_bs2.csv,kaggle,long,8192,2,200,2,250,0.8,8.8231,1.0,0.75,0.0018
hpm_v2_8192_seed2_tf200_lw03_bs2.csv,kaggle,long,8192,2,200,2,300,0.75,7.3397,1.0,0.75,0.002
hpm_v2_8192_seed2_tf200_lw03_bs2.csv,kaggle,long,8192,2,200,2,350,0.65,5.9688,1.0,0.75,0.0021
hpm_v2_8192_seed2_tf200_lw03_bs2.csv,kaggle,long,8192,2,200,2,400,0.75,3.1234,1.0,0.75,4.1111
hpm_v2_8192_seed2_tf200_lw03_bs2.csv,kaggle,long,8192,2,200,2,450,0.7,10.0809,1.0,0.75,0.0016
hpm_v2_8192_seed2_tf200_lw03_bs2.csv,kaggle,long,8192,2,200,2,500,0.75,4.3011,1.0,0.75,0.0014
hpm_v2_8192_seed2_tf200_lw03_bs2.csv,kaggle,long,8192,2,200,2,550,0.9,0.9512,1.0,0.875,13.0951
hpm_v2_8192_seed2_tf200_lw03_bs2.csv,kaggle,long,8192,2,200,2,600,0.85,1.9295,1.0,0.8125,0.0011
hpm_v2_8192_seed3_tf200_lw03_bs2.csv,kaggle,long,8192,3,200,2,50,0.8,12.5277,1.0,0.4375,0.0076
hpm_v2_8192_seed3_tf200_lw03_bs2.csv,kaggle,long,8192,3,200,2,100,0.65,16.2213,1.0,0.6875,0.0026
hpm_v2_8192_seed3_tf200_lw03_bs2.csv,kaggle,long,8192,3,200,2,150,0.7,27.4706,1.0,0.8125,0.0018
hpm_v2_8192_seed3_tf200_lw03_bs2.csv,kaggle,long,8192,3,200,2,200,0.8,22.1832,1.0,0.75,0.0013
